   38 1334    0
                   9.6769013E+00  -1.5257723E+00  -1.1065272E+00
                   9.0272229E+00  -2.9197079E+00  -2.4901883E+00
                   1.0839355E+01  -2.4850350E+00   3.1114905E-01
                   1.0884147E+01  -1.4032349E-01  -2.0555343E+00
                   7.5376559E+00  -1.3545745E-01   2.3468696E-01
                   7.9666104E+00   1.5502481E+00   1.7767374E+00
                   5.1699048E+00  -9.1433258E-01  -3.7428858E-01
                   4.8603072E+00  -2.2126764E+00  -1.7457156E+00
                   2.8705769E+00   1.6172275E-01   7.0546873E-01
                   7.4755670E-01  -1.8358896E+00   3.7767686E-01
                   5.0231562E-01  -2.7148484E+00  -1.8237027E+00
                   2.2769516E+00   2.6914139E+00  -6.5766433E-01
                  -1.8147795E-01   4.1084382E+00   2.4545651E-02
                  -2.6353306E+00   2.9486434E+00  -1.1251580E+00
                  -4.1602280E+00   1.6039805E+00   9.2584101E-01
                  -6.1120353E+00  -3.7954958E-01   2.6594114E-02
                  -6.4753804E+00  -2.1984127E+00   2.1923637E+00
                  -8.5568550E+00   8.8689565E-01  -6.1471842E-01
                  -5.2242930E+00  -1.8903118E+00  -2.2323465E+00
                  -6.1234492E-01  -2.3025007E+00   2.2841099E+00
                   3.1942095E+00   5.1259195E-01   2.7143174E+00
                   3.8796093E+00   3.9445309E+00  -2.7116623E-01
                   2.2811128E+00   2.3116111E+00  -2.6969924E+00
                  -3.5976036E-01   4.2735964E+00   2.0871381E+00
                   3.1728499E-03   6.0496819E+00  -6.7453580E-01
                  -3.7688714E+00   4.4233591E+00  -2.0432058E+00
                  -2.0607897E+00   1.6050066E+00  -2.5822690E+00
                  -2.8658110E+00   5.3667084E-01   2.1257206E+00
                  -5.2469792E+00   2.9405780E+00   2.0717614E+00
                  -6.5690844E+00  -3.4348321E+00  -2.4942815E+00
                  -5.2540940E+00  -6.7142342E-01  -3.8931832E+00
                  -3.3006105E+00  -2.6133229E+00  -1.9103939E+00
                  -7.9418097E+00  -3.5579950E+00   1.6802102E+00
                  -4.6417736E+00  -3.1054793E+00   2.5098755E+00
                  -7.0535213E+00  -1.1259328E+00   3.8583027E+00
                  -9.8941517E+00  -5.2543831E-01  -1.3047103E+00
                  -9.3120046E+00   1.7989379E+00   1.0745341E+00
                  -8.2140625E+00   2.2980825E+00  -2.0791597E+00
  -3.0527000E-02   1.2568084E+01   3.3227808E-01   8.7768513E-01
  -1.6365000E-02   7.4263038E+00  -4.1230986E+00   8.7768513E-01
  -1.0179000E-02   1.3645326E+01  -1.5257723E+00  -1.1065272E+00
  -6.3310000E-03   1.2568084E+01  -3.3838227E+00  -3.0907395E+00
  -6.1760000E-03   8.6847951E+00   1.9260654E-01  -4.5432830E+00
  -5.7320000E-03   7.5175435E+00  -5.5345482E+00  -1.5091390E+00
  -6.7340000E-03   9.5515293E+00  -5.8931936E+00  -1.5091390E+00
   1.6100000E-04   7.5175435E+00  -5.5345482E+00  -3.4712358E+00
  -1.5790000E-03   9.5515293E+00  -5.8931936E+00  -3.4712358E+00
  -3.7830000E-03   1.1340185E+01  -4.8605132E+00  -3.4712358E+00
  -3.5300000E-03   1.0893288E+01  -2.9197079E+00  -5.0586056E+00
  -5.2040000E-03   9.6038690E+00  -1.1449736E+00  -5.0586056E+00
  -9.0100000E-04   7.5175435E+00  -1.8228618E+00  -5.0586056E+00
   2.1860000E-03   7.5175435E+00  -4.0165540E+00  -5.0586056E+00
   3.1400000E-04   9.6038690E+00  -4.6944422E+00  -5.0586056E+00
  -9.7800000E-04   9.0272229E+00  -2.9197079E+00  -5.6649280E+00
  -2.1681000E-02   1.0839355E+01  -2.4850350E+00   3.4858887E+00
  -1.3490000E-02   1.2705420E+01  -2.4850350E+00   2.8795682E+00
  -3.9680000E-02   1.1416001E+01  -7.1030076E-01   2.8795682E+00
  -1.6233000E-02   9.3296755E+00  -3.5818811E+00   2.8795682E+00
  -8.9060000E-03   1.1416001E+01  -4.2597693E+00   2.8795682E+00
  -9.0790000E-03   1.3858712E+01  -2.4850350E+00   1.2921984E+00
  -2.2133000E-02   1.3152317E+01  -5.4422975E-01   1.2921984E+00
  -1.1273000E-02   9.3296755E+00  -5.0998753E+00   1.2921984E+00
  -5.8700000E-03   1.1363661E+01  -5.4585208E+00   1.2921984E+00
  -4.2260000E-03   1.3152317E+01  -4.4258403E+00   1.2921984E+00
  -8.4370000E-03   1.3858712E+01  -2.4850350E+00  -6.6989841E-01
  -6.4760000E-03   1.1363661E+01  -5.4585208E+00  -6.6989841E-01
  -5.0820000E-03   1.3152317E+01  -4.4258403E+00  -6.6989841E-01
