   39 1410    0
                   6.6232137E+00  -4.0042613E+00  -9.5971624E-02
                   4.8917031E+00  -1.9125822E+00  -1.0343264E+00
                   6.0888219E+00   4.6195675E-01   2.2337695E-01
                   7.0975992E+00   1.2451405E-01   2.2968920E+00
                   2.1927436E+00  -2.4549525E+00  -6.8604612E-02
                   2.0335530E-01  -5.0063566E-01  -9.0304336E-01
                  -2.4518722E+00  -1.1988705E+00   9.3652930E-02
                  -4.3894461E+00   7.8922138E-01  -7.3304550E-01
                  -7.1235508E+00   3.6292188E-01   1.2010720E-01
                  -8.6976680E+00   2.5289560E+00  -8.9101714E-01
                  -8.1657498E+00  -2.0800989E+00  -9.2486780E-01
                  -7.3296783E+00   3.4390367E-01   2.9670399E+00
                   7.2431118E+00  -3.3219890E+00   1.6651604E+00
                   4.9774060E+00  -1.8883370E+00  -3.0984193E+00
                   1.6241250E+00  -4.3298876E+00  -7.5573355E-01
                   2.2571964E+00  -2.5418081E+00   2.0030925E+00
                   7.3320990E-01   1.3768203E+00  -2.0551526E-01
                   1.5818329E-01  -3.9166650E-01  -2.9754359E+00
                  -2.9720420E+00  -3.0688224E+00  -6.2798618E-01
                  -2.3763191E+00  -1.3288270E+00   2.1588286E+00
                  -3.8721128E+00   2.6528200E+00  -3.5507951E-03
                  -4.4711408E+00   9.1160193E-01  -2.7949898E+00
                   5.7487014E+00  -5.7233999E+00   9.2248864E-02
                   8.1896283E+00  -4.2410289E+00  -1.2180021E+00
                  -9.3223887E+00   2.1293243E-01   3.4786341E+00
                  -6.3192399E+00  -1.2830370E+00   3.7219079E+00
                  -6.5322064E+00   2.0949748E+00   3.7089180E+00
                  -1.0654373E+01   2.2572116E+00  -3.0270198E-01
                  -7.9738557E+00   4.3003039E+00  -1.2377705E-01
                  -8.5789686E+00   2.5419082E+00  -2.9491820E+00
                  -1.0158067E+01  -2.2148704E+00  -4.1274828E-01
                  -7.9722040E+00  -2.0678723E+00  -2.9779360E+00
                  -7.1402427E+00  -3.6706340E+00  -1.1472526E-01
                   5.8952931E+00   2.6663977E+00  -9.9792839E-01
                   5.2068357E+00   2.6786375E+00  -2.7833169E+00
                   6.9780872E+00   5.0306566E+00  -1.8547661E-02
                   5.5776850E+00   6.5414188E+00  -1.5042786E-01
                   8.6565664E+00   5.5506751E+00  -1.1066009E+00
                   7.5032496E+00   4.7360124E+00   1.9499610E+00
   2.6716500E-01   5.6311075E+00  -5.7226402E+00   3.3407842E+00
   2.5663600E-01   8.0508941E+00  -7.1304445E+00   1.8882407E+00
   2.4894900E-01   9.5143962E+00  -5.8623117E+00   1.8882407E+00
   2.6108000E-01   8.8775359E+00  -7.2702105E+00  -9.5971624E-02
   2.7654200E-01   5.6311075E+00  -5.7226402E+00  -3.5327275E+00
   2.2754600E-01   9.5255777E+00   4.6195675E-01  -1.7608353E+00
   1.3828200E-01   7.0975992E+00   1.2451405E-01   6.0007550E+00
   1.3234800E-01   8.9495306E+00   1.2451405E-01   5.5045318E+00
   1.3016000E-01   8.0235649E+00   1.7283339E+00   5.5045318E+00
   1.4215100E-01   6.1716334E+00   1.7283339E+00   5.5045318E+00
   1.5688100E-01   5.2456677E+00   1.2451405E-01   5.5045318E+00
   1.6438000E-01   6.1716334E+00  -1.4793058E+00   5.5045318E+00
   1.5302200E-01   8.0235649E+00  -1.4793058E+00   5.5045318E+00
   1.3685700E-01   1.0305239E+01   1.2451405E-01   4.1488235E+00
   1.3229600E-01   9.6926333E+00   2.0099163E+00   4.1488235E+00
   1.7530600E-01   4.5025651E+00   2.0099163E+00   4.1488235E+00
   1.9401600E-01   3.8899594E+00   1.2451405E-01   4.1488235E+00
   2.1083800E-01   4.5025651E+00  -1.7608883E+00   4.1488235E+00
   1.6547100E-01   9.6926333E+00  -1.7608883E+00   4.1488235E+00
   1.5427100E-01   1.0801462E+01   1.2451405E-01   2.2968920E+00
   1.4857500E-01   1.0305239E+01   1.9764455E+00   2.2968920E+00
   1.9064900E-01   1.0305239E+01  -1.7274174E+00   2.2968920E+00
   1.9060700E-01   1.0305239E+01   1.2451405E-01   4.4496055E-01
   2.4354000E-01  -5.7853961E-02  -5.0522788E+00   1.9156077E+00
   2.4375200E-01  -2.8574547E-01   2.9011395E+00  -2.8872556E+00
   2.6221000E-01  -4.7024697E+00  -3.7961968E+00   2.0778652E+00
   2.4680700E-01  -1.0241918E+00  -4.3250537E+00   2.0778652E+00
   2.5572900E-01  -1.4982617E+00   2.6472718E+00  -2.7172578E+00
   2.4612400E-01  -4.8785468E+00   4.1909965E+00  -2.7172578E+00
   2.1306200E-01  -1.0948265E+01   5.1262843E+00   1.0931951E+00
   2.4333900E-01  -5.8064836E+00   4.3870064E+00  -2.8752294E+00
   2.1130800E-01  -9.1867687E+00   5.9307312E+00  -2.8752294E+00
   2.0686300E-01  -1.0948265E+01   5.1262843E+00  -2.8752294E+00
   2.3483000E-01  -9.1578559E+00  -3.7984777E+00   2.5118880E+00
   2.1458400E-01  -9.5729720E+00  -5.7906401E+00  -9.2486780E-01
   2.1177700E-01  -1.0416347E+01  -4.6774252E+00  -2.9090801E+00
   2.1675400E-01  -8.6548505E+00  -5.4818740E+00  -2.9090801E+00
   2.2940500E-01  -6.7380693E+00  -5.2062820E+00  -2.9090801E+00
   2.4977600E-01  -5.2745654E+00  -3.9381493E+00  -2.9090801E+00
   2.1262900E-01  -7.3296783E+00   3.4390367E-01   6.9354645E+00
   2.2287800E-01  -5.3454660E+00   3.4390367E-01   6.4037957E+00
   2.1247100E-01  -8.3217844E+00   2.0622825E+00   6.4037957E+00
   2.1378000E-01  -8.3217844E+00  -1.3744752E+00   6.4037957E+00
   2.4181400E-01  -8.7369006E+00  -3.3666376E+00   2.9670399E+00
   2.1008000E-01   7.2431118E+00  -3.3219890E+00   4.8399001E+00
   2.0664000E-01   9.1091766E+00  -3.3219890E+00   4.2335796E+00
   2.4497000E-01   5.7334324E+00  -4.4188351E+00   4.2335796E+00
   2.3313500E-01   7.8197580E+00  -5.0967233E+00   4.2335796E+00
   2.2078400E-01   1.0262469E+01  -3.3219890E+00   2.6462098E+00
   2.4128900E-01   9.5560741E+00  -5.2627943E+00   2.6462098E+00
   2.6827400E-01   7.9967629E+00  -1.8883370E+00  -4.0794687E+00
   2.5938700E-01   7.2903682E+00   5.2468242E-02  -4.0794687E+00
   2.6588000E-01   2.1401392E+00  -2.9210175E+00  -4.0794687E+00
   2.6395000E-01   3.4677266E+00  -4.5031773E+00  -4.0794687E+00
   2.7389600E-01   5.5017123E+00  -4.8618228E+00  -4.0794687E+00
   2.4356200E-01   6.8434707E+00  -1.8883370E+00  -5.6668385E+00
   2.5144500E-01   5.5540521E+00  -1.1360277E-01  -5.6668385E+00
   2.5271800E-01   3.4677266E+00  -7.9149094E-01  -5.6668385E+00
   2.4580600E-01   3.4677266E+00  -2.9851831E+00  -5.6668385E+00
   2.4519300E-01   5.5540521E+00  -3.6630713E+00  -5.6668385E+00
   2.3992700E-01   4.9774060E+00  -1.8883370E+00  -6.2731590E+00
   2.4112600E-01   1.1444559E-01  -5.4267337E+00   1.8126856E+00
   2.5457500E-01   2.2007711E+00  -6.1046200E+00   1.8126856E+00
   2.3428700E-01   1.1444559E-01  -6.9447279E+00   2.2531581E-01
   2.5271600E-01   2.1484314E+00  -7.3033733E+00   2.2531581E-01
   2.3386300E-01   1.1444559E-01  -6.9447279E+00  -1.7367829E+00
   2.4803800E-01   2.1484314E+00  -7.3033733E+00  -1.7367829E+00
   2.3948300E-01   1.1444559E-01  -5.4267337E+00  -3.3241527E+00
   2.4738400E-01   2.2007711E+00  -6.1046200E+00  -3.3241527E+00
   2.5126200E-01   1.6241250E+00  -4.3298876E+00  -3.9304732E+00
   2.1806200E-01   2.2571964E+00  -2.5418081E+00   5.1778322E+00
   2.2046400E-01   4.1232612E+00  -2.5418081E+00   4.5715117E+00
   2.1452800E-01   2.8338425E+00  -7.6707379E-01   4.5715117E+00
   2.3072500E-01   7.4751702E-01  -1.4449620E+00   4.5715117E+00
   2.2719600E-01   7.4751702E-01  -3.6386542E+00   4.5715117E+00
   2.2783200E-01   2.8338425E+00  -4.3165423E+00   4.5715117E+00
   2.3439400E-01   2.7815028E+00   4.3167767E-01   2.9841419E+00
   2.3540100E-01   7.4751702E-01  -5.1566484E+00   2.9841419E+00
   2.4956200E-01   2.7815028E+00  -5.5152938E+00   2.9841419E+00
   2.3645400E-01   7.3320990E-01   1.3768203E+00   2.9692244E+00
